Rank,Dutch,English,,Notes
1253,boord,board,,
1254,bom,bomb,,
1255,vakantie,holidays,,
1256,vonden,found,,
1257,meegenomen,included,,
1258,huilen,to cry,,
1259,verkocht,sold,,
1260,gat,hole,,
1261,zelfmoord,suicide,,
1262,jake,jake,,
1263,vlug,quickly,,
1264,hoer,whore,,
1265,armen,arms,,
1266,aangenaam,pleasant,,
1267,homo,gay,,
1268,bar,bar,,
1269,dak,roof,,
1270,knul,guy,,
1271,aanval,attack,,
1272,tommy,tommy,,
1273,der,der,,
1274,soldaten,soldiers,,
1275,sarah,sarah,,
1276,parijs,Paris,,
1277,meestal,mostly,,
1278,grap,joke,,
1279,gesloten,closed,,
1280,systeem,system,,
1281,laatst,last,,
1282,slaapt,sleeps,,
1283,glas,glass,,
1284,geheime,secret,,
1285,zwanger,pregnant,,
1286,godverdomme,Goddamnit,,
1287,richting,direction,,
1288,draagt,wear,,
1289,speciaal,special,,
1290,ontsnappen,escape,,
1291,londen,London,,
1292,hangen,to hang,,
1293,keus,choice,,
1294,c,c,,
1295,beiden,both,,
1296,mes,knife,,
1297,dichtbij,close to,,
1298,vergeef,forgive,,
1299,hoek,corner,,
1300,stoel,chair,,
1301,majoor,major,,
1302,krant,newspaper,,
1303,gestorven,died,,
1304,gehaald,achieved,,
1305,vele,many,,
1306,danny,danny,,
1307,verschillende,various,,
1308,geluid,sound,,
1309,begraven,to bury,,
1310,gooien,throw,,
1311,gestopt,stopped,,
1312,monster,sample,,
1313,haalt,gets,,
1314,sleutels,Keys,,
1315,noemt,mentions,,
1316,draaien,to turn,,
1317,ruzie,quarrel,,
1318,gauw,soon,,
1319,liegen,to lie,,
1320,steve,steve,,
1321,adres,address,,
1322,gepakt,caught,,
1323,langzaam,slowly,,
1324,simpel,simple,,
1325,maan,Moon,,
1326,verlies,loss,,
1327,belt,call,,
1328,betere,better,,
1329,zaten,sat,,
1330,bier,beer,,
1331,risico,risk,,
1332,stukje,piece,,
1333,vrijheid,freedom,,
1334,totaal,total,,
1335,verdient,earns,,
1336,sprak,spoke,,
1337,san,san,,
1338,kus,kiss,,
1339,overleven,survive,,
1340,richard,richard,,
1341,beest,beast,,
1342,bek,beak,,
1343,vertrek,departure,,
1344,eenmaal,once,,
1345,prinses,princess,,
1346,huh,huh,,
1347,leer,leather,,
1348,broeder,brother,,
1349,wisten,knew,,
1350,onmiddellijk,immediately,,
1351,ontslagen,laid off,,
1352,lol,LOL,,
1353,park,park,,
1354,kerels,guys,,
1355,keuken,kitchen,,
1356,planeet,planet,,
1357,actie,action,,
1358,ware,true,,
1359,geregeld,regularly,,
1360,zagen,saw,,
1361,gevangen,caught,,
1362,fbi,fbi,,
1363,gezeten,seated,,
1364,plaatsen,place,,
1365,jurk,dress,,
1366,vanmorgen,this morning,,
1367,computer,computer,,
1368,hopelijk,hopefully,,
1369,dachten,thought,,
1370,bedoelde,meant,,
1371,trap,stairway,,
1372,beweging,movement,,
1373,verandert,changes,,
1374,waarvan,from what,,
1375,last,load,,
1376,zakken,lower,,
1377,tijden,times,,
1378,twintig,twenty,,
1379,j,j,,
1380,blauwe,blue,,
1381,kilometer,kilometer,,
1382,lach,laugh,,
1383,juffrouw,miss,,
1384,rol,role,,
1385,hoge,High,,
1386,draag,wear,,
1387,liegt,lying,,
1388,schoon,clean,,
1389,dikke,thick,,
1390,neef,cousin,,
1391,bezorgd,Worried,,
1392,bouwen,to build,,
1393,betrokken,concerned,,
1394,hiermee,with this,,
1395,ontdekt,discovered,,
1396,ster,star,,
1397,hoelang,how long,,
1398,don,don,,
1399,vriendje,boyfriend,,
1400,honderd,hundred,,
1401,wint,wins,,
1402,bos,forest,,
1403,toestemming,permission,,
1404,jas,jacket,,
1405,rood,red,,
1406,indruk,impression,,
1407,mark,Mark,,
1408,belangrijke,important,,
1409,twaalf,twelve,,
1410,passen,to fit,,
1411,minuut,minute,,
1412,strijd,fight,,
1413,mist,fog,,
1414,enig,any,,
1415,ontvangen,receive,,
1416,gratis,free,,
1417,bedanken,to thank,,
1418,trouw,faithfully,,
1419,stelt,states,,
1420,hoogte,height,,
1421,getuige,witness,,
1422,kussen,To kiss,,
1423,springen,to jump,,
1424,duren,last,,
1425,waarmee,by which,,
1426,excuses,apologies,,
1427,k,k,,
1428,bereid,prepared,,
1429,zware,heavy,,
1430,breken,break,,
1431,durf,dare,,
1432,prins,Prince,,
1433,leider,leader,,
1434,programma,program,,
1435,commandant,commander,,
1436,up,up,,
1437,feit,fact,,
1438,rook,smoke,,
1439,jane,Jane,,
1440,rome,Rome,,
1441,rijdt,rides,,
1442,start,Start,,
1443,nadenken,reflect,,
1444,vieren,to celebrate,,
1445,trut,bitch,,
1446,washington,Washington,,
1447,verschrikkelijk,terrible,,
1448,charles,charles,,
1449,vernietigen,destroy,,
1450,klootzakken,motherfuckers,,
1451,roken,to smoke,,
1452,test,test,,
1453,publiek,audience,,
1454,besloten,decided,,
1455,roep,call,,
1456,opdracht,order,,
1457,draait,runs,,
1458,duizend,thousand,,
1459,brug,bridge,,
1460,geslagen,beaten,,
1461,ervaring,experience,,
1462,leeftijd,Age,,
1463,bad,bath,,
1464,vertaling,translation,,
1465,jerry,Jerry,,
1466,paarden,horses,,
1467,maria,Mary,,
1468,vecht,fight,,
1469,kate,kate,,
1470,energie,energy,,
1471,leef,live,,
1472,lee,lee,,
1473,bloemen,flowers,,
1474,code,code,,
1475,wonder,miracle,,
1476,zomer,summer,,
1477,films,movies,,
1478,binnenkort,shortly,,
1479,chris,chris,,
1480,gestoord,disturbed,,
1481,slot,key lock,,
1482,veiligheid,safety,,
1483,gewone,ordinary,,
1484,procent,per cent,,
1485,restaurant,restaurant,,
1486,duivel,devil,,
1487,enorme,enormous,,
1488,bezit,property,,
1489,sloeg,hit,,
1490,tanden,teeth,,
1491,inspecteur,inspector,,
1492,waarin,in which,,
1493,vlak,flat,,
1494,gedownload,downloaded,,
1495,motor,engine,,
1496,enorm,enormous,,
1497,schoot,lap,,
1498,spoor,track,,
1499,boel,lot,,
1500,neen,no,,
1501,gemakkelijk,easy,,
1502,zorgt,makes,,
1503,geweten,conscience,,
1504,beeld,statue,,
1505,engeland,England,,
1506,sommigen,some,,
1507,landen,Nations,,
1508,ineens,suddenly,,
1509,ontbijt,breakfast,,
1510,verhalen,stories,,
1511,luistert,listening,,
1512,fijne,fine,,
1513,amerikanen,americans,,
1514,volgt,follows,,
1515,coach,coach,,
1516,betreft,concerns,,
1517,waarover,about what,,
1518,vissen,fish,,
1519,noemde,named,,
1520,raakte,hit,,
1521,pad,path,,
1522,wezen,being,,
1523,operatie,operation,,
1524,schreef,wrote,,
1525,basis,base,,
1526,gegeten,ate,,
1527,verklaring,statement,,
1528,zwemmen,swimming,,
1529,momentje,just hold on,,
1530,uren,hours,,
1531,rotzooi,shit,,
1532,blanke,White person,,
1533,rare,weird,,
1534,opstaan,rise,,
1535,nachts,night,,
1536,to,to,,
1537,betaalt,pay,,
1538,papieren,paper,,
1539,martin,Martin,,
1540,beslissing,decision,,
1541,geniet,enjoy,,
1542,ochtend,morning,,
1543,wraak,revenge,,
1544,top,top,,
1545,robert,robert,,
1546,tonen,show,,
1547,ha,ha,,
1548,will,will,,
1549,gekke,silly,,
1550,kosten,cost,,
1551,eeuwig,everlasting,,
1552,sterft,dies,,
1553,cel,cell,,
1554,sexy,sexy,,
1555,oren,ears,,
1556,geholpen,assisted,,
1557,zwaard,sword,,
1558,fuck,fuck,,
1559,leiding,conduit,,
1560,reed,drove,,
1561,tekenen,to draw,,
1562,verdomd,damned,,
1563,gemeen,common,,
1564,moorden,murder,,
1565,vorm,form,,
1566,gevoelens,feelings,,
1567,aanvallen,to attack,,
1568,opzij,aside,,
1569,neergeschoten,shot,,
1570,kip,chicken,,
1571,volwassen,adult,,
1572,verantwoordelijk,responsible,,
1573,ouder,parent,,
1574,lunch,lunch,,
1575,toilet,toilet,,
1576,fles,bottle,,
1577,wow,wow,,
1578,street,street,,
1579,verlaat,leaves,,
1580,perfecte,perfect,,
1581,dik,fat,,
1582,afstand,distance,,
1583,gepraat,talk,,
1584,halve,half,,
1585,ruikt,smells,,
1586,walter,walter,,
1587,past,suits,,
1588,mooiste,most beautiful,,
1589,directeur,director,,
1590,nerveus,nervous,,
1591,leidt,leads,,
1592,troep,gang,,
1593,nbsp,nbsp,,
1594,toevallig,accidentally,,
1595,andy,andy,,
1596,tevreden,satisfied,,
1597,dankzij,thanks to,,
1598,melk,milk,,
1599,rusten,rest,,
1600,moed,courage,,
1601,stopt,stops,,
1602,taak,task,,
1603,dol,crazy,,
1604,truck,truck,,
1605,sukkel,softy,,
1606,levens,lives,,
1607,appartement,apartment,,
1608,universiteit,university,,
1609,behoorlijk,fairly,,
1610,onschuldig,innocent,,
1611,verboden,forbidden,,
1612,liefste,Dear,,
1613,vangen,to catch,,
1614,steen,stone,,
1615,slachtoffer,victim,,
1616,majesteit,majesty,,
1617,bijzonder,particular,,
1618,lui,lazy,,
1619,thomas,thomas,,
1620,veld,field,,
1621,jaloers,jealous,,
1622,strand,beach,,
1623,dans,dance,,
1624,verslaan,defeat,,
1625,misdaad,crime,,
1626,post,post,,
1627,ais,ais,,
1628,openen,to open,,
1629,pond,lb,,
1630,donder,Thunder,,
1631,genoemd,called,,
1632,opeens,suddenly,,
1633,vertaald,translated,,
1634,terecht,justly,,
1635,gaaf,whole,,
1636,schijnt,seems,,
1637,harder,mullet,,
1638,belangrijkste,main,,
1639,gedoe,hassle,,
1640,antwoorden,answers,,
1641,drankje,drink,,
1642,vergeven,to forgive,,
1643,getuigen,witness,,
1644,kogel,ball,,
1645,doc,doc,,
1646,anna,anna,,
1647,kamp,camp,,
1648,domme,stupid,,
1649,afmaken,finish up,,
1650,verdwijnen,to disappear,,
1651,cent,cent,,
1652,berg,mountain,,
1653,terugkomen,return,,
1654,speelde,played,,
1655,ophalen,to pick up,,
1656,brian,brian,,
1657,spelletje,game,,
1658,gekozen,chosen,,
1659,big,piglet,,
1660,simon,simon,,
1661,stilte,Silence,,
1662,type,type,,
1663,kleur,colour,,
1664,steken,stabbing,,
1665,overleden,passed away,,
1666,keren,turn,,
1667,afgesproken,agreed,,
1668,bedoeling,intention,,
1669,genoegen,pleasure,,
1670,mening,opinion,,
1671,chef,chef,,
1672,ln,ln,,
1673,verpest,ruined,,
1674,frankrijk,France,,
1675,hoed,hat,,
1676,vertrokken,departed,,
1677,vaders,fathers,,
1678,hopen,to hope,,
1679,officier,officer,,
1680,onderzoeken,to investigate,,
1681,betekenen,mean,,
1682,kevin,kevin,,
1683,medicijnen,medicines,,
1684,erachter,out,,
1685,toon,tone,,
1686,lucy,lucy,,
1687,twijfel,doubt,,
1688,verkoop,sale,,
1689,larry,larry,,
1690,geweld,violence,,
1691,dichterbij,closer,,
1692,bespreken,discuss,,
1693,mexico,Mexico,,
1694,william,william,,
1695,ontsnapt,Escaped,,
1696,des,des,,
1697,geschoten,shot,,
1698,schoonheid,beauty,,
1699,akkoord,agreement,,
1700,heus,really,,
1701,gezocht,wanted,,
1702,controleren,to check,,
1703,favoriete,favorite,,
1704,vaarwel,goodbye,,
1705,vrije,free,,
1706,vriendelijk,friendly,,
1707,gearresteerd,arrested,,
1708,bepaalde,particular,,
1709,stemmen,to vote,,
1710,lisa,lisa,,
1711,stappen,to step,,
1712,bevalt,like,,
1713,wit,white,,
1714,kaarten,Cards,,
1715,opnemen,record,,
1716,klanten,customers,,
1717,vingers,fingers,,
1718,hartelijk,warmly,,
1719,tent,tent,,
1720,verstand,wit,,
1721,echtgenoot,husband,,
1722,verdachte,suspect,,
1723,machine,machine,,
1724,bedacht,conceived,,
1725,bidden,pray,,
1726,uitstekend,excellent,,
1727,ho,ho,,
1728,hersenen,brain,,
1729,huid,skin,,
1730,sterren,stars,,
1731,dave,dave,,
1732,taal,language,,
1733,ergste,worst,,
1734,leugenaar,liar,,
1735,bende,gang,,
1736,gedrag,behaviour,,
1737,rachel,rachel,,
1738,carl,carl,,
1739,geslapen,slept,,
1740,overkomen,befall,,
1741,blind,blind,,
1742,voeren,feed,,
1743,blik,look,,
1744,it,it,,
1745,las,weld,,
1746,claire,claire,,
1747,reken,accounting,,
1748,gebleven,remained,,
1749,vertrekt,leaves,,
1750,doos,box,,
1751,chicago,chicago,,
1752,drank,drink,,
1753,liedje,tune,,
1754,gedragen,behave,,
1755,punten,points,,
1756,jazeker,hell yes,,
1757,lukken,work out,,
1758,bak,bin,,
1759,tegenhouden,stop,,
1760,gezelschap,party,,
1761,ondertitel,subtitle,,
1762,pete,pete,,
1763,rapport,report,,
1764,broers,brothers,,
1765,city,City,,
1766,grens,border,,
1767,vrijdag,Friday,,
1768,compleet,complete,,
1769,tuin,garden,,
1770,burgemeester,mayor,,
1771,paniek,panic,,
1772,voedsel,food,,
1773,zocht,sought,,
1774,trekt,attracts,,
1775,victor,Victor,,
1776,hoewel,although,,
1777,matt,matt,,
1778,kerst,Christmas,,
1779,gouden,golden,,
1780,lijden,suffering,,
1781,st,st,,
1782,nagedacht,thought,,
1783,volle,full,,
1784,afdeling,department,,
1785,v,v,,
1786,kerstmis,Christmas,,
1787,ondertiteling,subtitle,,
1788,bijvoorbeeld,for instance,,
1789,kerstman,Santa Claus,,
1790,duizenden,thousands,,
1791,talent,talent,,
1792,verwachten,expect,,
1793,lenen,to lend,,
1794,tegenwoordig,nowadays,,
1795,bergen,mountains,,
1796,zwak,weak,,
1797,uwe,yours,,
1798,gelaten,left,,
1799,begrafenis,funeral,,
1800,collega,fellow worker,,
1801,bekijk,view,,
1802,gelogen,lied,,
1803,f,f,,
1804,sterf,death,,
1805,kunst,art,,
1806,adam,Adam,,
1807,manieren,manners,,
1808,ren,acids,,
1809,advies,advice,,
1810,uitgenodigd,invited,,
1811,arthur,arthur,,
1812,vloer,floor,,
1813,brood,bread,,
1814,bedenken,think,,
1815,vandoor,away,,
1816,storm,storm,,
1817,gedachte,thought,,
1818,station,station,,
1819,kregen,got,,
1820,project,project,,
1821,vaker,more often,,
1822,roepen,call,,
1823,jouwe,yours,,
1824,vrolijk,cheerful,,
1825,papier,paper,,
1826,verraden,betray,,
1827,noorden,north,,
1828,verloor,lost,,
1829,zondag,Sunday,,
1830,hemelsnaam,heaven's sake,,
1831,gevolgd,followed,,
1832,laag,low,,
1833,kies,choose,,
1834,elf,eleven,,
1835,gelul,bullshit,,
1836,duur,expensive,,
1837,gespeeld,played,,
1838,geïnteresseerd,interested,,
1839,leraar,teacher,,
1840,schot,shot,,
1841,europa,Europe,,
1842,war,confused,,
1843,stukken,pieces,,
1844,ideeën,ideas,,
1845,zonde,sin,,
1846,verliest,loses,,
1847,kogels,bullets,,
1848,oplossing,solution,,
1849,westen,West,,
1850,video,video,,
1851,vogel,bird,,
1852,gozer,geezer,,
1853,bereikt,reached,,
1854,ledereen,Everybody,,
1855,maatje,Buddy,,
1856,voren,forward,,
1857,annie,annie,,
1858,stuurde,sent,,
1859,smith,smith,,
1860,verdiend,earned,,
1861,tong,tongue,,
1862,reizen,to travel,,
1863,persoonlijke,personal,,
1864,race,race,,
1865,moeders,mothers,,
1866,menselijke,human,,
1867,geloofde,believed,,
1868,jagen,to hunt,,
1869,bruiloft,wedding,,
1870,hoger,higher,,
1871,jones,jones,,
1872,ed,ed,,
1873,louis,louis,,
1874,krachten,forces,,
1875,kilo,kilo,,
1876,pik,cock,,
1877,kust,coast,,
1878,alarm,alarm,,
1879,vorig,last,,
1880,koken,Cook,,
1881,contract,contract,,
1882,amy,amy,,
1883,vergadering,meeting,,
1884,scott,scott,,
1885,stront,shit,,
1886,alice,alice,,
1887,eigenaar,owner,,
1888,rechercheur,detective,,
1889,biertje,beer,,
1890,zwijg,be silent,,
1891,beer,bear,,
1892,joey,Joey,,
1893,wijs,wise,,
1894,beslist,decided,,
1895,eieren,Eggs,,
1896,miljoenen,millions,,
1897,zaterdag,Saturday,,
1898,koffer,Suitcase,,
1899,sporen,tracks,,
1900,tegenover,opposite,,
1901,snapt,understands,,
1902,p,p,,
1903,ziekte,disease,,
1904,verbergen,hide,,
1905,verborgen,hidden,,
1906,gewacht,waited,,
1907,rock,rock,,
1908,bieden,offer,,
1909,aardige,nice,,
1910,rose,rose,,
1911,pot,pot,,
1912,harde,tough,,
1913,straf,punishment,,
1914,dankbaar,grateful,,
1915,erom,around,,
1916,leerde,learned,,
1917,vreselijke,fearful,,
1918,julie,julie,,
1919,gaven,gifts,,
1920,zuiden,south,,
1921,schreeuwen,shout,,
1922,blauw,blue,,
1923,wiens,whose,,
1924,slachtoffers,victims,,
1925,sterke,strong,,
1926,ernstig,serious,,
1927,gerust,safe,,
1928,pers,press,,
1929,lid,member,,
1930,frankie,frankie,,
1931,flink,lot,,
1932,eric,eric,,
1933,hiervan,hereof,,
1934,km,km,,
1935,proces,process,,
1936,wensen,to wish,,
1937,kelder,cellar,,
1938,ontmoette,met,,
1939,genieten,to enjoy,,
1940,daniel,daniel,,
1941,sterker,stronger,,
1942,nat,wet,,
1943,klant,customer,,
1944,eenvoudig,simple,,
1945,uitzoeken,investigate,,
1946,senator,senator,,
1947,vasthouden,to hold,,
1948,gods,god,,
1949,signaal,signal,,
1950,schrijft,writes,,
1951,hi,Hi,,
1952,wed,wed,,
1953,duitse,German,,
1954,orders,orders,,
1955,dossier,dossier,,
1956,west,west,,
1957,vijanden,enemies,,
1958,geduld,patience,,
1959,meegemaakt,experienced,,
1960,phil,phil,,
1961,graf,grave,,
1962,job,Job,,
1963,deuren,doors,,
1964,vermoordt,killing,,
1965,kampioen,champion,,
1966,shirt,shirt,,
1967,edelachtbare,Honor,,
1968,super,super,,
1969,stenen,stone,,
1970,vliegveld,airport,,
1971,pakt,arrested,,
1972,aangedaan,affected,,
1973,maandag,Monday,,
1974,klus,job,,
1975,wei,whey,,
1976,ruim,spacious,,
1977,terry,terry,,
1978,bewerkt,edited,,
1979,vluchten,flee,,
1980,natuur,nature,,
1981,ongelofelijk,unbelievable,,
1982,opgewonden,agitated,,
1983,bomen,trees,,
1984,goden,gods,,
1985,doei,bye,,
1986,afscheid,goodbye,,
1987,badkamer,bathroom,,
1988,details,details,,
1989,jesse,jesse,,
1990,taart,cake,,
1991,zojuist,just now,,
1992,oplossen,to resolve,,
1993,fred,fred,,
1994,gezond,healthy,,
1995,ondanks,despite,,
1996,king,king,,
1997,korte,short,,
1998,spring,jump,,
1999,gebruikte,used,,
2000,groene,green,,
